MySQL [soybase]> select QTLName,db_accn FROM qtl_xref_table WHERE db_id='TO';
+--------------------------------------+-------------+
| QTLName                              | db_accn     |
| Leaflet area 4-2                     | TO:0000540  |
| Leaflet area 4-3                     | TO:0000540  |
| Leaflet area 4-4                     | TO:0000540  |
| Leaflet area 5-1                     | TO:0000540  |
| Leaflet area 6-1                     | TO:0000540  |
| Leaflet area 6-2                     | TO:0000540  |
| Leaflet area 6-3                     | TO:0000540  |
| Leaflet length 1-1                   | TO:0000135  |
| Leaflet length 1-2                   | TO:0000135  |
| Leaflet length 2-1                   | TO:0000135  |
| Leaflet length 2-2                   | TO:0000135  |
| Leaflet length 2-3                   | TO:0000135  |
| Leaflet length 3-1                   | TO:0000135  |
| Leaflet length 3-2                   | TO:0000135  |
| Leaflet length 3-3                   | TO:0000135  |
| Leaflet length 4-1                   | TO:0000135  |
| Leaflet length 4-2                   | TO:0000135  |
| Leaflet length 4-3                   | TO:0000135  |
| Leaflet length 5-1                   | TO:0000135  |
| Leaflet length 5-2                   | TO:0000135  |
| Leaflet length 5-3                   | TO:0000135  |
| Leaflet length 5-4                   | TO:0000135  |
| Leaflet width 1-1                    | TO:0000370  |
| Leaflet width 1-2                    | TO:0000370  |
| Leaflet width 1-3                    | TO:0000370  |
| Leaflet width 2-1                    | TO:0000370  |
| Leaflet width 2-2                    | TO:0000370  |
| Leaflet width 2-3                    | TO:0000370  |
| Leaflet width 3-1                    | TO:0000370  |
| Leaflet width 3-2                    | TO:0000370  |
| Leaflet width 3-3                    | TO:0000370  |
| Leaflet width 4-1                    | TO:0000370  |
| Leaflet width 4-2                    | TO:0000370  |
| Leaflet width 5-1                    | TO:0000370  |
| Leaflet width 5-2                    | TO:0000370  |
| Leaflet width 5-3                    | TO:0000370  |
| Leaflet width 5-4                    | TO:0000370  |
| Leaflet area 1-1                     | TO:0000540  |
| Leaflet area 1-2                     | TO:0000540  |
| Leaflet area 1-3                     | TO:0000540  |
| Leaflet area 1-4                     | TO:0000540  |
| Leaflet area 1-5                     | TO:0000540  |
| Leaflet area 1-6                     | TO:0000540  |
| Leaflet shape 1-1                    | TO:0000492  |
| Leaflet shape 1-2                    | TO:0000492  |
| Leaflet shape 1-3                    | TO:0000492  |
| Leaflet shape 1-4                    | TO:0000492  |
| Leaflet shape 2-1                    | TO:0000492  |
| Leaflet shape 4-1                    | TO:0000492  |
| Leaflet shape 4-2                    | TO:0000492  |
| Leaflet shape 5-1                    | TO:0000492  |
| Seed linoleic 1-1                    | TO:0005001  |
| Seed linoleic 1-2                    | TO:0005001  |
| Seed linoleic 1-3                    | TO:0005001  |
| Seed linoleic 1-4                    | TO:0005001  |
| Seed linoleic 1-5                    | TO:0005001  |
| Seed linoleic 1-6                    | TO:0005001  |
| Seed linolenic 1-1                   | TO:0005005  |
| Seed linolenic 1-2                   | TO:0005005  |
| Seed linolenic 1-3                   | TO:0005005  |
| Seed linolenic 1-4                   | TO:0005005  |
| Seed linolenic 1-5                   | TO:0005005  |
| Seed linolenic 1-6                   | TO:0005005  |
| Seed linolenic 1-7                   | TO:0005005  |
| Peanut root-knot nematode 1-1        | TO:0000384  |
| Peanut root-knot nematode 1-2        | TO:0000384  |
| Peanut root-knot nematode 1-3        | TO:0000384  |
| Peanut root-knot nematode 1-4        | TO:0000384  |
| Peanut root-knot nematode 1-5        | TO:0000384  |
| Peanut root-knot nematode 2-1        | TO:0000384  |
| Peanut root-knot nematode 2-2        | TO:0000384  |
| Southern root-knot nematode 1-1      | TO:0002704  |
| Southern root-knot nematode 1-2      | TO:0002704  |
| Southern root-knot nematode 1-3      | TO:0002704  |
| Southern root-knot nematode 1-4      | TO:0002704  |
| Southern root-knot nematode 2-1      | TO:0002704  |
| Southern root-knot nematode 2-2      | TO:0002704  |
| Southern root-knot nematode 3-1      | TO:0002704  |
| Southern root-knot nematode 3-2      | TO:0002704  |
| Southern root-knot nematode 4-1      | TO:0002704  |
