QTLID	QTLName	LocusName
178	Lodging 5-1	A117_1
179	Lodging 5-2	K472_3
180	Lodging 5-3	gc197_1
181	Lodging 5-4	EV3_1
182	Lodging 5-5	cr409_1
183	Lodging 5-6	K014_2
184	Lodging 5-7	L183_1
185	Lodging 5-8	A378_1
186	Lodging 5-9	gc056_1
187	Lodging 5-10	A169_1
188	Lodging 5-11	EV2_1
189	Lodging 5-12	cr168_1
190	Lodging 5-13	A597_1
191	Lodging 5-14	BLT049_5
192	Lodging 5-15	cr021_2
193	Lodging 6-1	Satt277
194	Lodging 6-2	Satt335
195	Lodging 7-1	Sat_096
196	Lodging 8-1	Sat_036
197	Lodging 8-2	Satt489
198	Lodging 8-3	Satt182
199	Lodging 8-4	Dt1
200	Lodging 9-1	Satt365
201	Lodging 9-2	Ps
202	Lodging 9-3	Satt232
203	Lodging 9-4	L050_7
204	Lodging 9-5	Dt1
205	Lodging 10-1	Satt251
206	Leaflet area 8-1	A397_1
206	Leaflet area 8-1	BLT029_1
207	Leaflet area 8-2	A584_3
207	Leaflet area 8-2	R079_1
208	Leaflet area 7-1	R079_1
209	Leaflet area 7-2	BLT053_3
210	Leaflet area 3-1	A085_1
211	Leaflet area 3-2	BLT049_5
212	Leaflet area 3-3	K644_1
213	Leaflet area 3-4	A635_1
214	Leaflet area 4-1	Satt365
215	Leaflet area 4-2	Sat_003
216	Leaflet area 4-3	Satt150
217	Leaflet area 4-4	Satt076
218	Leaflet area 5-1	Satt287
219	Leaflet area 6-1	R079_1
220	Leaflet area 6-2	Satt182
221	Leaflet area 6-3	Dt1
222	Leaflet length 1-1	R013_2
223	Leaflet length 1-2	K478_1
224	Leaflet length 2-1	Satt006
225	Leaflet length 2-2	A690_2
226	Leaflet length 2-3	BLT004_1
227	Leaflet length 3-1	Sat_112
228	Leaflet length 3-2	Satt150
229	Leaflet length 3-3	Sat_003
230	Leaflet length 4-1	K375_1
231	Leaflet length 4-2	A489_1
232	Leaflet length 4-3	Satt373
233	Leaflet length 5-1	L2
234	Leaflet length 5-2	BLT010_2
235	Leaflet length 5-3	G173_1
236	Leaflet length 5-4	K385_1
237	Leaflet width 1-1	A111_1
238	Leaflet width 1-2	K390_1
239	Leaflet width 1-3	K411_1
240	Leaflet width 2-1	R079_1
241	Leaflet width 2-2	BLT053_3
242	Leaflet width 2-3	BLT049_5
243	Leaflet width 3-1	Satt365
244	Leaflet width 3-2	Satt150
245	Leaflet width 3-3	Satt527
