#QTLName	OntologyIdentifier
cqSeed oil-002	TO:0000604
cqSeed oil-003	PO:0009010
cqSeed oil-003	TO:0000604
cqSeed oil-004	PO:0009010
cqSeed oil-004	TO:0000604
cqSeed oil-005	PO:0009010
cqSeed oil-005	TO:0000604
cqSeed oil-006	PO:0009010
cqSeed oil-006	TO:0000604
cqSeed oil-007	PO:0009010
cqSeed oil-007	TO:0000604
cqSeed oil-008	PO:0009010
cqSeed oil-008	TO:0000604
cqSeed oil-009	PO:0009010
cqSeed oil-009	TO:0000604
cqSeed oil-010	PO:0009010
cqSeed oil-010	TO:0000604
cqSeed oil-011	PO:0009010
cqSeed oil-011	TO:0000604
cqSeed oil-012	PO:0009010
cqSeed oil-012	TO:0000604
cqSeed oil-013	PO:0009010
cqSeed oil-013	TO:0000604
cqSeed oil-014	PO:0009010
cqSeed oil-014	TO:0000604
cqSeed oil-015	PO:0009010
cqSeed oil-015	TO:0000604
cqSeed oil-016	PO:0009010
cqSeed oil-016	TO:0000604
cqSeed phytate-001	PO:0009010
cqSeed phytate-001	TO:0000281
cqSeed phytate-002	PO:0009010
cqSeed phytate-002	TO:0000281
cqSeed protein-001	PO:0009010
cqSeed protein-001	TO:0000598
cqSeed protein-002	PO:0009010
cqSeed protein-002	TO:0000598
cqSeed protein-003	PO:0009010
cqSeed protein-003	TO:0000598
cqSeed protein-004	PO:0009010
cqSeed protein-004	TO:0000598
cqSeed protein-005	PO:0009010
cqSeed protein-005	TO:0000598
cqSeed protein-006	PO:0009010
cqSeed protein-006	TO:0000598
cqSeed protein-007	PO:0009010
cqSeed protein-007	TO:0000598
cqSeed protein-008	PO:0009010
cqSeed protein-008	TO:0000598
cqSeed protein-009	PO:0009010
cqSeed protein-009	TO:0000598
cqSeed protein-010	PO:0009010
cqSeed protein-010	TO:0000598
cqSeed protein-011	PO:0009010
cqSeed protein-011	TO:0000598
cqSeed protein-012	PO:0009010
cqSeed protein-012	TO:0000598
cqSeed protein-013	PO:0009010
cqSeed protein-013	TO:0000598
cqSeed protein-014	PO:0009010
cqSeed protein-014	TO:0000598
cqSeed protein-015	PO:0009010
cqSeed protein-015	TO:0000598
cqSeed protein-016	PO:0009010
cqSeed protein-016	TO:0000598
cqSeed weight-001	TO:0000449
cqSeed weight-002	TO:0000449
cqSeed weight-003	TO:0000449
cqSeed weight-004	TO:0000449
cqSeed weight-005	TO:0000449
cqSeed weight-006	TO:0000449
cqSeed weight-007	TO:0000449
cqSeed weight-008	TO:0000449
cqSeed weight-009	TO:0000449
cqSeed weight-010	TO:0000449
cqSeed weight-011	TO:0000449
cqSeed weight-012	TO:0000449
cqSeed weight-013	TO:0000449
cqSeed yield-001	TO:0000396
Days to germination 1-1	GO:0009845
Days to germination 1-1	PO:0009010
Days to germination 1-1	TO:0006061
Days to germination 1-2	GO:0009845
Days to germination 1-2	PO:0009010
Days to germination 1-2	TO:0006061
Days to germination 1-3	GO:0009845
Days to germination 1-3	PO:0009010
Days to germination 1-3	TO:0006061
Drought index 1-1	PO:0000003
Drought index 1-1	TO:0000155
Drought index 1-10	PO:0000003
Drought index 1-10	TO:0000155
Drought index 1-2	PO:0000003
Drought index 1-2	TO:0000155
Drought index 1-3	PO:0000003
Drought index 1-3	TO:0000155
Drought index 1-4	PO:0000003
Drought index 1-4	TO:0000155
Drought index 1-5	PO:0000003
Drought index 1-5	TO:0000155
Drought index 1-6	PO:0000003
Drought index 1-6	TO:0000155
Drought index 1-7	PO:0000003
Drought index 1-7	TO:0000155
Drought index 1-8	PO:0000003
Drought index 1-8	TO:0000155
Drought index 1-9	PO:0000003
Drought index 1-9	TO:0000155
Drought tolerance 6-1	TO:0000276
Drought tolerance 6-2	TO:0000276
Drought tolerance 6-3	TO:0000276
Drought tolerance 6-4	TO:0000276
Fe effic 1-1	TO:0000224
Fe effic 1-2	TO:0000224
Fe effic 1-3	TO:0000224
Fe effic 1-4	TO:0000224
Fe effic 1-5	TO:0000224
Fe effic 10-1	TO:0000224
Fe effic 10-2	TO:0000224
Fe effic 10-3	TO:0000224
Fe effic 11-1	TO:0000224
Fe effic 11-2	TO:0000224
Fe effic 11-3	TO:0000224
Fe effic 12-1	TO:0000224
Fe effic 12-2	TO:0000224
Fe effic 13-1	TO:0000224
Fe effic 13-2	TO:0000224
Fe effic 13-3	TO:0000224
Fe effic 14-1	TO:0000224
Fe effic 2-1	TO:0000224
Fe effic 3-1	TO:0000224
Fe effic 3-2	TO:0000224
Fe effic 3-3	TO:0000224
Fe effic 3-4	TO:0000224
Fe effic 4-1	TO:0000224
Fe effic 4-2	TO:0000224
Fe effic 4-3	TO:0000224
Fe effic 5-1	TO:0000224
Fe effic 5-2	TO:0000224
Fe effic 6-1	TO:0000224
Fe effic 6-2	TO:0000224
Fe effic 7-1	TO:0000224
Fe effic 7-2	TO:0000224
Fe effic 8-1	TO:0000224
Fe effic 8-2	TO:0000224
Fe effic 8-3	TO:0000224
Fe effic 8-4	TO:0000224
Fe effic 9-1	TO:0000224
Fe effic 9-2	TO:0000224
Fe effic 9-3	TO:0000224
Fe effic 9-4	TO:0000224
Fe effic 9-5	TO:0000224
First flower 1-1	PO:0007016
First flower 1-1	PO:0009046
First flower 1-1	TO:0000369
First flower 1-2	PO:0007016
First flower 1-2	PO:0009046
First flower 1-2	TO:0000369
First flower 1-3	PO:0007016
First flower 1-3	PO:0009046
First flower 1-3	TO:0000369
First flower 10-1	PO:0007016
First flower 10-1	PO:0009046
First flower 10-1	TO:0000369
First flower 10-2	PO:0007016
First flower 10-2	PO:0009046
First flower 10-2	TO:0000369
First flower 11-1	PO:0007016
First flower 11-1	PO:0009046
First flower 11-1	TO:0000369
First flower 11-2	PO:0007016
First flower 11-2	PO:0009046
First flower 11-2	TO:0000369
First flower 11-3	PO:0007016
First flower 11-3	PO:0009046
First flower 11-3	TO:0000369
First flower 11-4	PO:0007016
First flower 11-4	PO:0009046
First flower 11-4	TO:0000369
First flower 12-1	PO:0007016
First flower 12-1	PO:0009046
First flower 12-1	TO:0000369
First flower 12-2	PO:0007016
First flower 12-2	PO:0009046
First flower 12-2	TO:0000369
First flower 12-3	PO:0007016
First flower 12-3	PO:0009046
First flower 12-3	TO:0000369
First flower 12-4	PO:0007016
First flower 12-4	PO:0009046
First flower 12-4	TO:0000369
First flower 12-5	PO:0007016
First flower 12-5	PO:0009046
First flower 12-5	TO:0000369
First flower 12-6	PO:0007016
First flower 12-6	PO:0009046
First flower 12-6	TO:0000369
First flower 12-7	PO:0007016
First flower 12-7	PO:0009046
First flower 12-7	TO:0000369
First flower 12-8	PO:0007016
First flower 12-8	PO:0009046
First flower 12-8	TO:0000369
First flower 13-1	PO:0007016
First flower 13-1	PO:0009046
First flower 13-1	TO:0000369
First flower 13-10	PO:0007016
First flower 13-10	PO:0009046
First flower 13-10	TO:0000369
First flower 13-2	PO:0007016
First flower 13-2	PO:0009046
First flower 13-2	TO:0000369
First flower 13-3	PO:0007016
First flower 13-3	PO:0009046
First flower 13-3	TO:0000369
First flower 13-4	PO:0007016
First flower 13-4	PO:0009046
First flower 13-4	TO:0000369
First flower 13-5	PO:0007016
First flower 13-5	PO:0009046
First flower 13-5	TO:0000369
First flower 13-6	PO:0007016
First flower 13-6	PO:0009046
First flower 13-6	TO:0000369
First flower 13-7	PO:0007016
First flower 13-7	PO:0009046
First flower 13-7	TO:0000369
First flower 13-8	PO:0007016
